country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Kuwait,KW,KWT,414,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Proportion of health care facilities with basic hygiene services,2018,16.5992,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Proportion of health care facilities with basic hygiene services,2019,16.5992,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Proportion of health care facilities with basic hygiene services,2020,16.5992,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Proportion of health care facilities with basic hygiene services,2021,16.5992,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Proportion of health care facilities with basic hygiene services,2022,16.5992,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Proportion of health care facilities with basic hygiene services,2023,16.5992,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2009,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2010,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2011,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2012,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2013,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2014,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2015,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2016,36,Total,,%,,,,Total
Liberia,LR,LBR,430,Proportion of health care facilities with basic hygiene services,2017,36,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2011,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2012,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2013,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2014,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2015,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2016,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2017,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2018,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2019,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2020,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2021,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2022,99.00000000000001,Total,,%,,,,Total
Lithuania,LT,LTU,440,Proportion of health care facilities with basic hygiene services,2023,99.00000000000001,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2013,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2014,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2015,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2016,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2017,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2018,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2019,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2020,27.4725,Total,,%,,,,Total
Malawi,MW,MWI,454,Proportion of health care facilities with basic hygiene services,2021,27.4725,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Malaysia,MY,MYS,458,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2014,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2015,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2016,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2017,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2018,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2019,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2020,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2021,79.78723404255319,Total,,%,,,,Total
Maldives,MV,MDV,462,Proportion of health care facilities with basic hygiene services,2022,79.78723404255319,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Malta,MT,MLT,470,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2017,42.42419999999999,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2018,42.42419999999999,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2019,42.42419999999999,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2020,42.42419999999999,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2021,42.42419999999999,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2022,42.42419999999999,Total,,%,,,,Total
"Micronesia, Federated States of",FM,FSM,583,Proportion of health care facilities with basic hygiene services,2023,42.42419999999999,Total,,%,,,,Total
Mongolia,MN,MNG,496,Proportion of health care facilities with basic hygiene services,2019,72.41379999999999,Total,,%,,,,Total
Mongolia,MN,MNG,496,Proportion of health care facilities with basic hygiene services,2020,72.41379999999999,Total,,%,,,,Total
Mongolia,MN,MNG,496,Proportion of health care facilities with basic hygiene services,2021,72.41379999999999,Total,,%,,,,Total
Mongolia,MN,MNG,496,Proportion of health care facilities with basic hygiene services,2022,72.41379999999999,Total,,%,,,,Total
Mongolia,MN,MNG,496,Proportion of health care facilities with basic hygiene services,2023,72.41379999999999,Total,,%,,,,Total
Morocco,MA,MAR,504,Proportion of health care facilities with basic hygiene services,2018,36.6957,Total,,%,,,,Total
Morocco,MA,MAR,504,Proportion of health care facilities with basic hygiene services,2019,36.6957,Total,,%,,,,Total
Morocco,MA,MAR,504,Proportion of health care facilities with basic hygiene services,2020,36.6957,Total,,%,,,,Total
Morocco,MA,MAR,504,Proportion of health care facilities with basic hygiene services,2021,36.6957,Total,,%,,,,Total
Morocco,MA,MAR,504,Proportion of health care facilities with basic hygiene services,2022,36.6957,Total,,%,,,,Total
Morocco,MA,MAR,504,Proportion of health care facilities with basic hygiene services,2023,36.6957,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2017,62.50980000000345,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2018,70.1142,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2019,70.1142,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2020,70.1142,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2021,70.1142,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2022,70.1142,Total,,%,,,,Total
Nepal,NP,NPL,524,Proportion of health care facilities with basic hygiene services,2023,70.1142,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2017,57.00383333333334,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2018,57.00383333333334,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2019,57.00383333333334,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2020,57.00383333333334,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2021,57.00383333333334,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2022,57.00383333333334,Total,,%,,,,Total
Nicaragua,NI,NIC,558,Proportion of health care facilities with basic hygiene services,2023,57.00383333333334,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2017,39.6,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2018,39.6,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2019,39.6,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2020,39.6,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2021,39.6,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2022,39.6,Total,,%,,,,Total
Niger,NE,NER,562,Proportion of health care facilities with basic hygiene services,2023,39.6,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2011,43.12246666666579,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2012,43.12246666666579,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2013,43.12246666666579,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2014,43.12246666666579,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2015,43.12246666666579,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2016,41.0456416666666,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2017,38.9688166666665,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2018,36.8919916666664,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2019,34.8151666666663,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2020,32.7383416666662,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2021,30.6615166666661,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2022,28.584691666666,Total,,%,,,,Total
Nigeria,NG,NGA,566,Proportion of health care facilities with basic hygiene services,2023,26.5078666666659,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Oman,OM,OMN,512,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2017,54.52739999999999,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2018,54.52739999999999,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2019,54.52739999999999,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2020,54.52739999999999,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2021,54.52739999999999,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2022,54.52739999999999,Total,,%,,,,Total
Pakistan,PK,PAK,586,Proportion of health care facilities with basic hygiene services,2023,54.52739999999999,Total,,%,,,,Total
Philippines,PH,PHL,608,Proportion of health care facilities with basic hygiene services,2019,78.07835,Total,,%,,,,Total
Philippines,PH,PHL,608,Proportion of health care facilities with basic hygiene services,2020,78.07835,Total,,%,,,,Total
Philippines,PH,PHL,608,Proportion of health care facilities with basic hygiene services,2021,78.07835,Total,,%,,,,Total
Philippines,PH,PHL,608,Proportion of health care facilities with basic hygiene services,2022,78.07835,Total,,%,,,,Total
Philippines,PH,PHL,608,Proportion of health care facilities with basic hygiene services,2023,78.07835,Total,,%,,,,Total
Rwanda,RW,RWA,646,Proportion of health care facilities with basic hygiene services,2019,46.4471,Total,,%,,,,Total
Rwanda,RW,RWA,646,Proportion of health care facilities with basic hygiene services,2020,46.4471,Total,,%,,,,Total
Rwanda,RW,RWA,646,Proportion of health care facilities with basic hygiene services,2021,46.4471,Total,,%,,,,Total
Rwanda,RW,RWA,646,Proportion of health care facilities with basic hygiene services,2022,46.4471,Total,,%,,,,Total
Rwanda,RW,RWA,646,Proportion of health care facilities with basic hygiene services,2023,46.4471,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
San Marino,SM,SMR,674,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
